,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
1681,BTCUSDT,-3052.65,-6.573,45281.94600932,46443.62,43390.98,0.060198,43383.81,1.612517,43390.98,0.723393,46443.63,47557.14,43273.4,77563.524709,3512227338.165332,1614440765689.0,1614527165689.0,673773516.0,675585750.0,1812235.0
1682,BTCUSDT,-3033.53,-6.532,45281.89825355,46442.75,43409.22,0.046,43409.21,0.615935,43409.22,0.084659,46442.75,47557.14,43273.4,77564.476533,3512266734.456974,1614440766682.0,1614527166682.0,673773551.0,675585828.0,1812278.0
1683,BTCUSDT,-3050.37,-6.566,45281.78322205,46456.34,43406.02,0.006031,43406.02,0.993969,43409.71,0.006,46456.39,47557.14,43273.4,77565.228162,3512291847.2007737,1614440767707.0,1614527167707.0,673773581.0,675585904.0,1812324.0
1684,BTCUSDT,-3052.9,-6.57,45281.68705319,46474.39,43416.4,0.004489,43416.4,1.901923,43416.41,0.006,46469.3,47557.14,43273.4,77566.950175,3512362363.4947424,1614440768693.0,1614527168693.0,673773617.0,675585954.0,1812338.0
1685,BTCUSDT,-3040.47,-6.542,45281.6484745,46474.38,43433.91,0.018585,43426.08,0.037941,43433.64,0.018591,46474.38,47557.14,43273.4,77568.102026,3512411528.775522,1614440769690.0,1614527169690.0,673773628.0,675586024.0,1812397.0
1686,BTCUSDT,-3034.45,-6.531,45281.61545571,46461.67,43427.43,0.034025,43422.17,0.022057,43427.43,0.331964,46461.88,47557.14,43273.4,77568.218935,3512414261.399263,1614440770695.0,1614527170695.0,673773649.0,675586079.0,1812431.0
1687,BTCUSDT,-3017.14,-6.493,45281.40284055,46463.81,43451.83,0.00571,43451.83,0.19429,43454.2,0.62,46468.97,47557.14,43273.4,77576.582246,3512776471.6739116,1614440771701.0,1614527171701.0,673773656.0,675586199.0,1812544.0
1688,BTCUSDT,-3009.51,-6.477,45281.35470851,46465.79,43456.28,0.03655,43451.35,0.034634,43456.28,0.021486,46465.79,47557.14,43273.4,77577.991304,3512836541.8097725,1614440772700.0,1614527172700.0,673773669.0,675586261.0,1812593.0
1689,BTCUSDT,-3007.73,-6.473,45281.32480906,46465.78,43458.06,0.002542,43458.06,0.090713,43464.95,0.035191,46465.79,47557.14,43273.4,77578.097675,3512839038.89034,1614440773687.0,1614527173687.0,673773685.0,675586332.0,1812648.0
1690,BTCUSDT,-2988.15,-6.431,45281.28946735,46464.47,43478.23,0.001,43469.48,0.002759,43478.23,0.003364,46466.38,47557.14,43273.4,77579.099428,3512881657.8158636,1614440774648.0,1614527174648.0,673773702.0,675586386.0,1812685.0
1691,BTCUSDT,-2972.66,-6.4,45279.96503152,46448.97,43473.98,0.004397,43475.33,0.18,43479.98,0.076273,46446.64,47557.14,43273.4,77491.374763,3508806739.513307,1614440775671.0,1614527175671.0,673773930.0,675586450.0,1812521.0
1692,BTCUSDT,-2968.94,-6.392,45279.9453853,46450.49,43480.53,5e-06,43480.53,0.002754,43487.04,0.455965,46449.47,47557.14,43273.4,77491.288621,3508801316.595312,1614440776533.0,1614527176533.0,673773945.0,675586486.0,1812542.0
1693,BTCUSDT,-2954.29,-6.361,45279.88267504,46442.72,43488.42,0.004752,43488.42,0.255248,43490.61,0.52294,46442.71,47557.14,43273.4,77493.326611,3508888737.044979,1614440777606.0,1614527177606.0,673773965.0,675586518.0,1812554.0
1694,BTCUSDT,-2953.21,-6.358,45279.72858157,46448.56,43495.35,0.047749,43489.32,0.140245,43497.59,0.26,46448.56,47557.14,43273.4,77497.876241,3509082801.8402224,1614440778710.0,1614527178710.0,673773988.0,675586605.0,1812618.0
1695,BTCUSDT,-2961.31,-6.375,45279.65092602,46455.14,43491.52,0.01,43491.55,1.0,43501.86,0.073646,46452.83,47557.14,43273.4,77500.117915,3509178285.9165673,1614440779693.0,1614527179693.0,673774002.0,675586644.0,1812643.0
